id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
18666;Flat with Sunny Terrace;71615;Mireia And Maria;Sant MartÌ;el Camp de l'Arpa del Clot;41.40889;2.18555;Entire home/apt;130;3;1;10/10/2015;0.02;31;251
18674;Huge flat for 8 people close to Sagrada Familia;71615;Mireia And Maria;Eixample;la Sagrada Familia;41.4042;2.17306;Entire home/apt;60;1;16;08/04/2019;0.21;31;52
21605;Nice and sunny duble room;82522;Meritxell;Sant MartÌ;el Poblenou;41.4056;2.19821;Private room;33;2;125;09/08/2019;3.05;2;3
23197;FORUM DELUXE 5 MINS WALK  CCIB CENTER & SEA!;90417;Etain (Marnie);Sant MartÌ;el Bes?s i el Maresme;41.41203;2.22114;Entire home/apt;210;3;49;09/10/2019;0.47;2;326
25786;NICE ROOM AVAILABLE IN THE HEART OF GRACIA;108310;Pedro;Gr?cia;la Vila de Gr?cia;41.40145;2.15645;Private room;45;1;254;09/10/2019;2.29;1;77
31377;Room for 2,  Sagrada Famili;134698;Svetlana;Horta-GuinardÛ;el Baix GuinardÛ;41.41097;2.1707;Private room;42;3;4;03/12/2018;0.08;3;220
31380;Room for 2-3. Barcelona, Sagrada Famili;134698;Svetlana;Horta-GuinardÛ;el Baix GuinardÛ;41.4109;2.17082;Private room;53;3;40;05/12/2019;0.77;3;235
31958;Gaudi Attic 1, Friendly Rentals;136853;Fidelio;Gr?cia;el Camp d'en Grassot i Gr?cia Nova;41.4095;2.15938;Entire home/apt;61;1;179;08/22/2019;1.71;43;298
32471;Gaudi Attic 2, Friendly Rentals;136853;Fidelio;Gr?cia;el Camp d'en Grassot i Gr?cia Nova;41.40928;2.16112;Entire home/apt;71;1;84;09/01/2019;0.79;43;309
32615;Sunny room, top floor with 2 terraces!;141199;Inge;Les Corts;les Corts;41.3872;2.14088;Private room;30;29;19;05/12/2014;0.17;1;91
32711;Sagrada Familia area - C??rsega 1;135703;Nick;Gr?cia;el Camp d'en Grassot i Gr?cia Nova;41.40464;2.16954;Entire home/apt;140;2;56;09/06/2019;0.56;13;335
34241;Private Double room - Plaza Real;73163;Andres;Ciutat Vella;el Barri G?tic;41.37916;2.17535;Private room;80;5;8;07/15/2013;0.07;2;261
34981;VIDRE HOME PLAZA REAL on LAS RAMBLAS;73163;Andres;Ciutat Vella;el Barri G?tic;41.37859;2.1773;Entire home/apt;250;4;140;08/25/2019;1.28;2;112
35379;Double 02 CasanovaRooms Barcelona;152232;Pablo;Eixample;l'Antiga Esquerra de l'Eixample;41.39036;2.15274;Private room;40;2;270;09/10/2019;2.95;4;307
35388;Single 01 CasanovaRooms Barcelona;152232;Pablo;Eixample;l'Antiga Esquerra de l'Eixample;41.39065;2.15196;Private room;30;2;223;09/11/2019;2.21;4;168
35390;Single 02 CasanovaRooms Barcelona;152232;Pablo;Eixample;l'Antiga Esquerra de l'Eixample;41.39153;2.15125;Private room;30;2;219;09/11/2019;2.45;4;317
35392;Double 01 CasanovaRooms Barcelona;152232;Pablo;Eixample;l'Antiga Esquerra de l'Eixample;41.39082;2.15078;Private room;45;2;192;09/14/2019;3.15;4;315
36763;In front of the beach;158596;Ester;Ciutat Vella;la Barceloneta;41.37906;2.19141;Private room;38;2;68;08/27/2019;0.7;1;354
40983;Classical loft close to pedrera!;177617;Joaquin;Eixample;la Dreta de l'Eixample;41.3956;2.16761;Entire home/apt;130;2;308;09/11/2019;3.06;3;303
46153;CHIC BORN APARTMENT GREAT LOCATION ! FREE WIFI;90417;Etain (Marnie);Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38776;2.17782;Entire home/apt;46;32;2;09/30/2018;0.02;2;168
49213;Descalzos en el parque, relaxing and  cool room;208154;Cate;Sants-Montju?c;el Poble Sec;41.37315;2.1664;Private room;35;3;46;08/30/2019;0.62;2;92
49968;Sagrada Familia area - C??rsega 2;135703;Nick;Gr?cia;el Camp d'en Grassot i Gr?cia Nova;41.40631;2.16945;Entire home/apt;140;2;39;09/02/2019;0.4;13;332
50066;Sagrada Familia area - Sardenya 1;135703;Nick;Eixample;el Fort Pienc;41.39821;2.17966;Entire home/apt;180;2;55;08/06/2019;0.55;13;267
58512;Stylish & cozy 3BR near Sagrada Familia;280070;Cristina;Sant MartÌ;el Camp de l'Arpa del Clot;41.41099;2.18119;Entire home/apt;106;5;372;08/27/2019;3.62;1;135
61444;Bright apartment - Rambla Catalunya (HUTB-005863);297545;Anil;Eixample;la Dreta de l'Eixample;41.38901;2.16552;Entire home/apt;105;2;45;08/29/2019;0.61;5;278
66037;Great apartment in  en el Born;323105;Amivelaz;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.38322;2.18234;Entire home/apt;190;3;110;08/26/2019;1.05;1;11
67065;Londres, Friendly Rentals;136853;Fidelio;Eixample;l'Antiga Esquerra de l'Eixample;41.39161;2.15089;Entire home/apt;77;1;78;08/07/2019;0.79;43;306
68547;two beds with private shower 30% off;340570;At??n;Ciutat Vella;el Barri G?tic;41.38072;2.17811;Private room;49;2;82;09/10/2019;0.8;1;353
70099;Room with a View, Bcn City Center;353987;Alex;Ciutat Vella;el Raval;41.37828;2.1708;Private room;49;2;346;09/11/2019;3.31;1;312
71520;Charming apartment with fantastic views!;366428;Ariadna;Gr?cia;Vallcarca i els Penitents;41.41837;2.13419;Entire home/apt;250;7;1;06/23/2011;0.01;1;363
71553;SPECIAL GAP PRICE,  NewYork times penthouse flat !;366654;Arian Watermelon Barcelona!;Eixample;el Fort Pienc;41.3974;2.17682;Entire home/apt;140;2;47;03/07/2019;0.46;2;337
71603;MODERNIST PENTHOUSE. 1bedroom apt with terrace;366654;Arian Watermelon Barcelona!;Eixample;la Dreta de l'Eixample;41.39038;2.17606;Entire home/apt;390;3;37;06/02/2019;0.35;2;354
72436;Lugaris Beach Business Apartment;375625;Xavier;Sant MartÌ;el Poblenou;41.39837;2.20623;Hotel room;1000;1;237;09/10/2019;3.83;5;352
73455;RAMBLAS ORCHID2 FAMILY APARTMENT;383697;Anna;Ciutat Vella;el Raval;41.38422;2.16701;Entire home/apt;153;2;103;08/31/2019;1.34;19;283
73683;Sagrada Familia area for 12 people;135703;Nick;Gr?cia;el Camp d'en Grassot i Gr?cia Nova;41.40506;2.17081;Entire home/apt;300;2;157;07/26/2019;1.56;13;322
73692;Rustic apartment : Rambla Catalunya (HUTB-005863);297545;Anil;Eixample;la Dreta de l'Eixample;41.39108;2.16521;Entire home/apt;105;2;36;05/12/2019;0.41;5;306
73693;Huge family apt with patio: Central (HUTB-005825);297545;Anil;Sants-Montju?c;el Poble Sec;41.37163;2.16591;Entire home/apt;65;2;40;08/18/2019;0.61;5;289
73700;Centrally located budget apartment (HUTB-005832);297545;Anil;Sants-Montju?c;el Poble Sec;41.37335;2.16165;Entire home/apt;65;2;74;09/08/2019;0.86;5;308
74562;Cute Suite near the MACBA;382031;Lisette;Ciutat Vella;el Raval;41.38255;2.16836;Private room;70;3;196;09/11/2019;1.89;1;348
75003;130. H?©rcules Peque?o 41;396363;Oscar And Diego;Eixample;la Sagrada Familia;41.40445;2.17765;Entire home/apt;166;2;11;08/14/2019;0.11;98;330
75411;Sagrada Familia Clot Patio;400154;Mireia;Sant MartÌ;el Clot;41.40825;2.18729;Entire home/apt;125;3;28;08/18/2019;0.3;5;279
80004;Parc Montjuic HUTB (Phone number hidden by Airbnb);431839;Xavier;Sants-Montju?c;el Poble Sec;41.37188;2.16656;Entire home/apt;107;4;124;09/09/2019;1.22;1;89
83283;‚?ÖPLAZA ¬©ATALU?ëA ¬Æoom x2 + private bath¬Æoom+wifi;700165;Wonderful Barcelona;Eixample;Sant Antoni;41.38227;2.16141;Private room;59;3;102;07/30/2019;1;4;76
89756;BCN-RENTALS RAMBLA 1, just 7-10 min to Ramblas;488117;David Y Maria;Ciutat Vella;el Raval;41.37815;2.16894;Entire home/apt;350;6;15;08/31/2018;0.18;6;283
89776;Modernist flat Downtown Casa Estap?© | Barcelona;488151;Calie;Eixample;el Fort Pienc;41.39377;2.1795;Entire home/apt;65;3;313;09/12/2019;3.27;1;252
95719;Lovely room to rent in El Gotico;509260;Dalila;Ciutat Vella;Sant Pere, Santa Caterina i la Ribera;41.3839;2.18011;Private room;53;2;224;09/15/2019;2.19;1;332
97529;CENTRAL  FURNISHED 1 ENSUITE BEDROOM APARTMENT;497450;Francesc;Gr?cia;el Camp d'en Grassot i Gr?cia Nova;41.40906;2.16539;Entire home/apt;40;60;64;08/23/2019;0.67;1;43
100256;BARCELONA CENTRO EN LA PLAYA ,WIFI;527201;Peca;Ciutat Vella;la Barceloneta;41.37983;2.19249;Entire home/apt;64;32;53;09/11/2019;0.6;1;359
104485;Best Location guarantee!;543801;Pinar;Eixample;l'Antiga Esquerra de l'Eixample;41.39119;2.15641;Private room;35;2;182;09/03/2019;1.85;1;329
107437;Beautiful Villa surrounded by nature  in Barcelona;556626;Cristina;Sarri?-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;41.42864;2.09159;Entire home/apt;148;3;49;08/29/2019;0.49;1;305
109462;026. Industria ?Åtico Apartment;396363;Oscar And Diego;Gr?cia;el Camp d'en Grassot i Gr?cia Nova;41.40264;2.16717;Entire home/apt;135;2;2;05/17/2019;0.31;98;323
110041;002. AliÛ 2 Apartment;396363;Oscar And Diego;Gr?cia;el Camp d'en Grassot i Gr?cia Nova;41.40244;2.16564;Entire home/apt;135;2;10;06/05/2019;0.11;98;316
110098;023. Gign?†s GÛtic Apartment;396363;Oscar And Diego;Ciutat Vella;el Barri G?tic;41.3805;2.17932;Entire home/apt;135;2;15;09/01/2019;0.15;98;299
112538;Design Flat in the very center 5.3;567180;Sandra;Eixample;la Sagrada Familia;41.40549;2.17368;Entire home/apt;200;4;79;06/23/2019;0.79;13;46
117010;Spacious Flat near Sagrada Familia;567180;Sandra;Eixample;la Sagrada Familia;41.40745;2.17401;Entire home/apt;220;2;35;11/21/2018;0.35;13;78
